Date,Location,Series_Complete_Cumulative
12/14/2021,CT,2633582
06/21/2021,KS,1282300
01/20/2021,AR,36340
11/19/2021,FM,42032
12/22/2020,AK,48
03/02/2021,DE,100208
04/24/2021,NV,858373
08/06/2021,AL,1751991
07/06/2021,CT,2224273
04/09/2021,VI,23580
02/24/2021,WA,606343
12/27/2020,AK,74
01/14/2021,PA,88032
06/05/2021,ND,300273
04/30/2021,GU,64067
06/27/2021,RI,640497
07/01/2021,AL,1656878
11/16/2021,MT,552111
06/21/2021,AR,1070686
11/07/2021,AL,2232264
11/01/2021,IN,3369608
02/18/2021,PR,234104
08/13/2021,MN,3218115
07/03/2021,PA,6383344
07/13/2021,CA,20728884
10/21/2021,AR,1451970
05/12/2021,OR,1683986
08/11/2021,PR,2111985
11/18/2021,AL,2254952
10/19/2021,CA,24047618
07/17/2021,OR,2364694
05/16/2021,NH,629305
12/22/2020,WA,49
11/07/2021,MI,5396606
10/15/2021,WI,3382717
01/10/2021,MI,26007
03/16/2021,KY,605736
09/26/2021,ME,928767
07/17/2021,WY,215330
10/20/2021,DC,442659
05/14/2021,MI,3999218
05/14/2021,NM,950552
11/23/2021,VT,455329
04/09/2021,WY,139465
12/24/2020,WY,32
02/14/2021,CA,1707068
12/15/2020,WV,24
02/01/2021,MD,126869
10/24/2021,ND,372767
01/09/2021,TX,122877
11/24/2021,NH,882187
12/13/2021,MD,4198330
04/26/2021,PA,4101416
09/24/2021,NH,849295
01/28/2021,ND,26223
08/13/2021,FM,33285
08/06/2021,IA,1602363
10/11/2021,AZ,3817672
06/14/2021,ID,643749
01/25/2021,AS,960
10/25/2021,CO,3558360
01/01/2021,SD,6
01/12/2021,MH,4
05/17/2021,RP,9539
11/12/2021,NV,1660716
03/16/2021,VA,1238725
03/11/2021,GA,951992
08/25/2021,MH,18792
10/21/2021,LA,2213232
12/30/2020,GA,1088
05/24/2021,PR,1637500
10/19/2021,HI,843913
12/21/2020,FM,0
07/22/2021,KY,1915674
08/03/2021,RI,670403
07/12/2021,IN,2939550
10/18/2021,MI,5330791
07/12/2021,US,162990548
11/18/2021,NE,1106438
11/08/2021,NJ,5962825
09/04/2021,TN,2974910
03/28/2021,NV,503659
05/19/2021,DC,342669
04/03/2021,PR,707521
01/28/2021,RP,5
07/22/2021,DC,403095
10/06/2021,NC,5448747
04/25/2021,TX,8059270
02/21/2021,WA,523387
03/30/2021,IA,654373
06/03/2021,MO,2324074
11/08/2021,KY,2310625
07/09/2021,ND,320068
11/26/2021,RI,769224
04/28/2021,AZ,2344960
03/05/2021,IA,311808
06/13/2021,FL,9629297
